2017-10-06 08:47:46 | C:\wamp\www\eumobile_api\index.php |  | 127.0.0.1 | 1 | getKey | Invalid Request
2017-10-06 16:00:48 | C:\wamp\www\eumobile_api\ApiFunction\receiveMoney.php |  | 127.0.0.1 | 1 | receiveMoney | decharge echouee pour le numero 237679680295 par 237691876792 montant 1000 XAF resultat : Holding Account Not Found
2017-10-06 16:02:11 | C:\wamp\www\eumobile_api\index.php |  | 127.0.0.1 | 1 | receivemoney | Unknown service
2017-10-06 16:02:23 | C:\wamp\www\eumobile_api\index.php |  | 127.0.0.1 | 1 | receiv | Unknown service
2017-10-06 16:03:38 | C:\wamp\www\eumobile_api\index.php |  | 127.0.0.1 | 1 | receiveMoney | Required inputs not set
2017-10-06 16:04:20 | C:\wamp\www\eumobile_api\index.php |  | 127.0.0.1 | 1 | receiveMoney | Invalid Request
2017-10-06 16:05:47 | C:\wamp\www\eumobile_api\index.php |  | 127.0.0.1 | 1 | receiveMoney | This client is not yet allowed to use this service
2017-10-06 16:10:06 | C:\wamp\www\eumobile_api\index.php |  | 127.0.0.1 | 1 | receiveMoney | Invalid Request
2017-10-06 16:11:15 | C:\wamp\www\eumobile_api\ApiFunction\receiveMoney.php |  | 127.0.0.1 | 1 | receiveMoney | decharge echouee pour le numero 237677489871 par 237691876792 montant 1500 XAF resultat : Holding Account Not Found
2017-10-06 16:12:58 | C:\wamp\www\eumobile_api\ApiFunction\receiveMoney.php |  | 127.0.0.1 | 1 | receiveMoney | decharge echouee pour le numero 237679680294 par 237691876792 montant 1500 XAF resultat : Holding Account Not Found
2017-10-06 16:14:36 | C:\wamp\www\eumobile_api\ApiFunction\receiveMoney.php |  | 127.0.0.1 | 1 | receiveMoney | decharge echouee pour le numero 237679680294 par 237691876792 montant 500 XAF resultat : Holding Account Not Found
2017-10-06 16:17:20 | C:\wamp\www\eumobile_api\index.php |  | 127.0.0.1 | 1 | sendpaymentRequests | Unknown service
2017-10-06 16:20:44 | C:\wamp\www\eumobile_api\index.php |  | 127.0.0.1 | 1 | sendPaymentRequest | Required inputs not set
2017-10-06 16:21:34 | C:\wamp\www\eumobile_api\index.php |  | 127.0.0.1 | 1 | sendPaymentRequest | Invalid Request
2017-10-06 16:23:14 | C:\wamp\www\eumobile_api\index.php |  | 127.0.0.1 | 1 | sendPaymentRequest | This client is not yet allowed to use this service
2017-10-06 16:24:53 | C:\wamp\www\eumobile_api\index.php |  | 127.0.0.1 | 1 | sendPaymentRequest | Invalid Request
2017-10-06 16:29:31 | C:\wamp\www\eumobile_api\ApiFunction\sendPaymentRequest.php |  | 127.0.0.1 | 1 | sendPaymentRequest | Subscriber Not Found
2017-10-06 16:31:37 | C:\wamp\www\eumobile_api\ApiFunction\sendPaymentRequest.php |  | 127.0.0.1 | 1 | sendPaymentRequest | Blocked Recipient
2017-10-06 16:34:50 | C:\wamp\www\eumobile_api\index.php |  | 127.0.0.1 | 1 | sendPaymentRequest | Invalid input parameters
2017-10-06 16:39:50 | C:\wamp\www\eumobile_api\ApiFunction\sendPaymentRequest.php |  | 127.0.0.1 | 1 | sendPaymentRequest | demande de paiement effectuee au 237679680294 reference 
2017-10-06 16:52:39 | C:\wamp\www\eumobile_api\index.php |  | 127.0.0.1 | 1 | getPaymentStatus | Required inputs not set
2017-10-06 16:52:58 | C:\wamp\www\eumobile_api\index.php |  | 127.0.0.1 | 1 | getPaymentStatus | Invalid Request
2017-10-06 16:53:42 | C:\wamp\www\eumobile_api\index.php |  | 127.0.0.1 | 1 | getPaymentStatus | This client is not yet allowed to use this service
2017-10-06 16:54:46 | C:\wamp\www\eumobile_api\index.php |  | 127.0.0.1 | 1 | payBill1 | Unknown service
2017-10-06 16:58:35 | C:\wamp\www\eumobile_api\index.php |  | 127.0.0.1 | 1 | getPaymentStatus | Required inputs not set
2017-10-06 16:59:18 | C:\wamp\www\eumobile_api\index.php |  | 127.0.0.1 | 1 | getPaymentStatus | Required inputs not set
2017-10-06 16:59:41 | C:\wamp\www\eumobile_api\index.php |  | 127.0.0.1 | 1 | getPaymentStatus | Required inputs not set
2017-10-06 17:01:32 | C:\wamp\www\eumobile_api\index.php |  | 127.0.0.1 | 1 | getPaymentStatus | This client is not yet allowed to use this service
2017-10-06 17:02:21 | C:\wamp\www\eumobile_api\index.php |  | 127.0.0.1 | 1 | getPaymentStatus | Required inputs not set
2017-10-06 17:03:06 | C:\wamp\www\eumobile_api\index.php |  | 127.0.0.1 | 1 | getPaymentStatus | Required inputs not set
2017-10-06 17:04:07 | C:\wamp\www\eumobile_api\index.php |  | 127.0.0.1 | 1 | getPaymentStatus | Required inputs not set
2017-10-06 17:05:49 | C:\wamp\www\eumobile_api\index.php |  | 127.0.0.1 | 1 | getPaymentStatus | Required inputs not set
2017-10-06 17:08:10 | C:\wamp\www\eumobile_api\index.php |  | 127.0.0.1 | 1 | getPaymentStatus | Required inputs not set
